,MonthlyIncome,Passport,DurationOfPitch,Designation_Executive,ProductPitched_Deluxe,Designation_Manager,Age,NumberOfTrips,PreferredPropertyStar,Gender_Male,ProdTaken
226,17177.0,0,10.0,1,0,0,37.0,5.0,3.0,1,0
234,17436.0,1,20.0,1,0,0,33.0,6.0,3.0,1,1
236,17707.0,0,8.0,1,0,0,33.0,1.0,5.0,0,1
238,21263.0,0,10.0,1,0,0,55.0,3.0,4.0,0,0
240,17232.0,0,6.0,1,0,0,39.0,1.0,3.0,0,0
241,17875.0,0,7.0,0,1,1,32.0,1.0,3.0,1,0
242,18072.0,0,25.0,0,1,1,41.0,3.0,5.0,1,0
246,17911.0,0,11.0,1,0,0,33.0,2.0,3.0,0,0
247,20957.0,0,8.0,0,1,1,34.0,7.0,5.0,1,0
248,24952.0,0,6.0,1,0,0,33.0,3.0,5.0,0,0
249,21434.0,0,13.0,0,1,1,45.0,5.0,3.0,1,0
254,21931.0,0,26.0,0,1,1,29.0,3.0,3.0,1,0
255,19898.0,0,9.0,0,1,1,25.0,1.0,3.0,0,0
256,17593.0,1,8.0,1,0,0,42.0,1.0,5.0,0,0
258,17723.0,0,6.0,1,0,0,51.0,2.0,3.0,1,0
260,17794.0,0,13.0,1,0,0,32.0,2.0,4.0,1,0
261,20249.0,0,8.0,0,1,1,38.0,4.0,3.0,1,0
265,21644.0,0,8.0,0,1,1,29.0,3.0,4.0,1,0
266,20582.0,0,29.0,0,1,1,31.0,1.0,3.0,1,0
267,23711.0,0,11.0,0,1,1,39.0,2.0,5.0,1,0
269,18210.0,0,12.0,1,0,0,36.0,1.0,3.0,1,0
272,17070.0,0,15.0,1,0,0,28.0,2.0,3.0,1,0
273,21502.0,0,12.0,0,1,1,37.0,5.0,3.0,1,0
277,20605.0,1,13.0,0,1,1,38.0,2.0,5.0,0,0
278,21397.0,0,6.0,0,1,1,26.0,2.0,4.0,0,0
281,19907.0,0,6.0,0,1,1,42.0,2.0,3.0,1,0
284,19741.0,1,34.0,0,1,1,26.0,2.0,5.0,1,0
286,18161.0,1,30.0,1,0,0,44.0,4.0,3.0,1,1
287,20745.0,0,29.0,0,1,1,38.0,1.0,3.0,1,0
288,17373.0,1,22.0,1,0,0,26.0,3.0,4.0,1,1
292,17789.0,0,11.0,1,0,0,31.0,2.0,4.0,0,0
294,17326.0,1,15.0,1,0,0,37.0,2.0,3.0,1,0
298,18688.0,0,24.0,1,0,0,29.0,5.0,3.0,1,0
299,20482.0,0,8.0,0,1,1,51.0,6.0,4.0,1,0
305,20674.0,0,30.0,0,1,1,36.0,1.0,4.0,0,0
306,20484.0,0,13.0,0,1,1,32.0,2.0,3.0,1,0
310,21410.0,0,8.0,0,1,1,31.0,4.0,5.0,1,0
312,17695.0,1,8.0,1,0,0,31.0,1.0,3.0,1,0
321,22547.0,0,13.0,0,1,1,31.0,5.0,3.0,1,0
324,20775.0,0,34.0,0,1,1,30.0,2.0,3.0,0,0
327,20238.0,1,9.0,0,1,1,39.0,5.0,3.0,0,1
330,20257.0,0,16.0,0,1,1,43.0,2.0,3.0,0,0
331,21349.0,1,6.0,0,1,1,27.0,1.0,4.0,1,0
334,18697.0,0,14.0,0,1,1,49.0,1.0,3.0,1,0
335,22457.0,1,6.0,0,1,1,40.0,3.0,3.0,1,0
336,17119.0,1,14.0,1,0,0,29.0,2.0,5.0,1,1
338,21118.0,0,11.0,0,1,1,30.0,2.0,3.0,0,0
339,21214.0,0,14.0,0,1,1,27.0,2.0,4.0,0,0
340,21347.0,0,11.0,0,1,1,37.0,1.0,3.0,1,0
343,23268.0,1,16.0,0,1,1,29.0,2.0,4.0,0,0
345,17904.0,0,32.0,1,0,0,23.0,2.0,3.0,1,0
349,19649.0,0,7.0,0,1,1,29.0,2.0,3.0,1,0
351,17370.0,0,8.0,1,0,0,32.0,2.0,4.0,0,0
353,20974.0,1,12.0,0,1,1,37.0,5.0,5.0,1,0
355,20296.0,0,6.0,0,1,1,26.0,2.0,3.0,1,0
361,17213.0,1,16.0,1,0,0,40.0,4.0,3.0,0,0
364,18452.0,0,16.0,1,0,0,29.0,7.0,5.0,0,0
365,20258.0,0,13.0,0,1,1,46.0,3.0,3.0,0,0
368,21380.0,1,28.0,0,1,1,40.0,3.0,3.0,1,1
373,20472.0,0,6.0,1,0,0,35.0,2.0,4.0,1,0
376,19936.0,0,20.0,0,1,1,51.0,5.0,3.0,0,0
377,17543.0,0,8.0,1,0,0,36.0,5.0,3.0,0,0
380,19721.0,1,8.0,0,1,1,24.0,2.0,3.0,0,0
383,17244.0,0,17.0,1,0,0,22.0,2.0,4.0,0,0
386,18034.0,0,20.0,1,0,0,37.0,2.0,5.0,0,0
387,20715.0,0,8.0,0,1,1,40.0,1.0,4.0,0,0
388,17576.0,0,6.0,1,0,0,42.0,4.0,5.0,0,0
391,18448.0,0,8.0,0,1,1,46.0,7.0,3.0,0,0
393,21538.0,0,10.0,0,1,1,34.0,1.0,3.0,0,0
394,21549.0,0,27.0,0,1,1,31.0,2.0,5.0,0,0
395,17258.0,0,27.0,1,0,0,43.0,1.0,3.0,1,0
396,19522.0,1,21.0,0,1,1,43.0,5.0,3.0,0,0
398,22656.0,1,32.0,0,1,1,37.0,4.0,3.0,0,0
399,17218.0,0,6.0,1,0,0,31.0,2.0,5.0,1,0
404,19558.0,0,9.0,0,1,1,28.0,2.0,5.0,1,0
405,26915.0,0,9.0,1,0,0,43.0,6.0,5.0,1,1
407,17654.0,0,16.0,1,0,0,45.0,4.0,3.0,1,0
409,19556.0,0,11.0,0,1,1,42.0,3.0,3.0,0,0
412,19810.0,0,15.0,0,1,1,46.0,3.0,3.0,0,0
415,17351.0,0,12.0,1,0,0,34.0,1.0,3.0,0,1
416,16702.0,1,8.0,1,0,0,38.0,2.0,3.0,1,0
418,17886.0,0,29.0,1,0,0,26.0,2.0,3.0,0,0
419,17097.0,0,9.0,1,0,0,30.0,5.0,3.0,1,0
428,20070.0,0,8.0,0,1,1,47.0,6.0,3.0,0,0
432,17768.0,0,8.0,1,0,0,34.0,4.0,3.0,1,0
436,18408.0,0,16.0,1,0,0,45.0,1.0,3.0,1,1
441,17093.0,0,11.0,1,0,0,42.0,5.0,3.0,1,0
444,22094.0,0,8.0,0,1,1,37.0,3.0,3.0,0,0
447,19717.0,0,7.0,0,1,1,35.0,1.0,3.0,1,0
449,25453.0,0,14.0,1,0,0,50.0,2.0,3.0,0,0
452,19805.0,0,15.0,0,1,1,45.0,1.0,4.0,1,0
453,17741.0,1,23.0,1,0,0,26.0,1.0,3.0,0,1
460,21949.0,0,15.0,0,1,1,26.0,6.0,3.0,1,0
469,19707.0,0,6.0,0,1,1,32.0,1.0,3.0,1,1
470,17400.0,0,30.0,1,0,0,24.0,1.0,3.0,1,0
471,24824.0,0,16.0,0,1,1,38.0,4.0,3.0,0,0
472,21447.0,0,6.0,0,1,1,37.0,7.0,4.0,0,0
474,17725.0,1,29.0,1,0,0,24.0,2.0,3.0,1,0
475,21272.0,0,34.0,0,1,1,26.0,2.0,4.0,1,0
476,17127.0,0,23.0,1,0,0,24.0,2.0,4.0,1,0
478,17096.0,0,19.0,1,0,0,25.0,2.0,3.0,1,0
479,17886.0,1,13.0,1,0,0,24.0,2.0,3.0,0,1
480,17033.0,0,18.0,1,0,0,30.0,2.0,5.0,1,1
481,18622.0,1,6.0,1,0,0,33.0,2.0,3.0,1,0
482,18022.0,0,19.0,0,1,1,31.0,3.0,5.0,1,1
484,20460.0,0,12.0,0,1,1,31.0,5.0,3.0,1,0
485,17187.0,0,12.0,1,0,0,27.0,1.0,3.0,0,0
486,24602.0,1,8.0,0,1,1,37.0,5.0,3.0,1,0
488,20813.0,0,8.0,0,1,1,35.0,2.0,3.0,0,0
491,20679.0,1,15.0,0,1,1,43.0,4.0,3.0,1,0
495,18041.0,0,8.0,1,0,0,27.0,1.0,5.0,1,1
498,17773.0,0,12.0,1,0,0,22.0,1.0,3.0,1,0
499,22104.0,0,14.0,0,1,1,33.0,1.0,3.0,1,0
500,21322.0,1,15.0,0,1,1,32.0,2.0,3.0,0,0
501,17083.0,0,9.0,1,0,0,30.0,2.0,3.0,0,0
503,17691.0,0,6.0,1,0,0,34.0,2.0,3.0,1,0
504,21398.0,0,6.0,0,1,1,45.0,3.0,5.0,0,1
505,17659.0,1,12.0,1,0,0,26.0,2.0,3.0,0,0
507,20561.0,0,9.0,0,1,1,29.0,2.0,3.0,0,0
509,22725.0,0,12.0,0,1,1,33.0,4.0,3.0,1,0
511,23847.0,1,15.0,0,1,1,36.0,3.0,4.0,1,0
515,16281.0,0,9.0,1,0,0,35.0,2.0,3.0,1,0
516,17819.0,0,10.0,1,0,0,23.0,3.0,5.0,1,0
517,19851.0,0,9.0,0,1,1,25.0,1.0,4.0,1,0
519,17720.0,0,6.0,1,0,0,29.0,2.0,3.0,1,0
520,23120.0,0,8.0,0,1,1,48.0,4.0,4.0,1,0
521,19647.0,1,27.0,0,1,1,27.0,2.0,3.0,0,0
523,18221.0,1,34.0,1,0,0,50.0,2.0,3.0,1,0
539,22457.0,0,14.0,1,0,0,25.0,1.0,4.0,1,0
545,20304.0,0,33.0,0,1,1,30.0,1.0,3.0,1,0
547,17759.0,1,25.0,1,0,0,42.0,7.0,3.0,1,1
548,21804.0,0,21.0,0,1,1,43.0,4.0,3.0,1,0
550,17500.0,0,15.0,1,0,0,23.0,2.0,5.0,1,0
551,21389.0,0,9.0,0,1,1,39.0,1.0,4.0,0,0
555,17297.0,0,16.0,1,0,0,29.0,2.0,4.0,1,0
557,20093.0,0,8.0,0,1,1,35.0,3.0,5.0,0,0
558,20309.0,0,30.0,0,1,1,32.0,2.0,3.0,1,0
559,18057.0,1,8.0,1,0,0,38.0,7.0,3.0,1,0
560,20121.0,0,14.0,0,1,1,34.0,4.0,5.0,0,0
570,20692.0,0,24.0,1,0,0,52.0,1.0,3.0,1,0
571,21513.0,0,16.0,1,0,0,26.0,4.0,3.0,0,0
572,21332.0,0,24.0,0,1,1,29.0,5.0,3.0,0,0
575,20485.0,1,25.0,0,1,1,54.0,1.0,5.0,0,0
576,19810.0,0,22.0,0,1,1,27.0,1.0,3.0,1,0
577,17782.0,1,16.0,1,0,0,37.0,1.0,5.0,0,0
580,17572.0,0,14.0,1,0,0,35.0,2.0,3.0,0,0
581,21303.0,0,6.0,1,0,0,46.0,4.0,3.0,1,0
583,21500.0,0,14.0,0,1,1,34.0,6.0,5.0,0,0
586,17694.0,0,15.0,1,0,0,24.0,2.0,4.0,1,0
587,18149.0,0,17.0,0,1,1,52.0,1.0,3.0,0,0
589,17319.0,1,6.0,1,0,0,29.0,2.0,5.0,0,1
593,20228.0,0,6.0,0,1,1,36.0,1.0,4.0,0,0
597,21062.0,1,6.0,0,1,1,42.0,1.0,3.0,0,0
599,17143.0,0,19.0,1,0,0,36.0,5.0,4.0,1,0
600,21162.0,0,10.0,0,1,1,32.0,2.0,3.0,0,0
604,25108.0,0,9.0,0,1,1,42.0,2.0,4.0,1,0
605,21288.0,0,18.0,0,1,1,38.0,3.0,5.0,1,0
612,19779.0,1,7.0,0,1,1,28.0,2.0,4.0,0,0
613,17696.0,0,9.0,1,0,0,37.0,1.0,3.0,1,0
614,17366.0,1,11.0,1,0,0,26.0,2.0,3.0,0,1
615,16706.0,0,9.0,1,0,0,27.0,2.0,3.0,1,0
621,21201.0,1,6.0,0,1,1,36.0,2.0,3.0,1,0
622,21134.0,0,8.0,0,1,1,32.0,3.0,3.0,1,0
623,24738.0,0,11.0,1,0,0,55.0,1.0,3.0,1,0
628,21334.0,0,22.0,0,1,1,37.0,5.0,3.0,1,0
630,19775.0,0,36.0,0,1,1,22.0,7.0,3.0,1,0
633,17342.0,0,14.0,1,0,0,36.0,1.0,5.0,1,0
636,17022.0,1,31.0,1,0,0,35.0,2.0,4.0,0,1
637,17314.0,0,6.0,1,0,0,32.0,1.0,3.0,1,0
640,18162.0,0,10.0,1,0,0,24.0,1.0,3.0,1,0
641,21524.0,0,11.0,0,1,1,32.0,2.0,4.0,1,0
642,17899.0,0,15.0,1,0,0,38.0,1.0,4.0,1,0
644,17356.0,1,17.0,1,0,0,31.0,4.0,3.0,1,0
645,17800.0,1,6.0,1,0,0,29.0,7.0,3.0,0,1
648,17973.0,0,27.0,1,0,0,37.0,6.0,3.0,0,0
650,20562.0,0,6.0,0,1,1,43.0,5.0,3.0,0,0
651,19537.0,1,16.0,0,1,1,47.0,1.0,3.0,0,0
654,20204.0,0,8.0,0,1,1,39.0,1.0,3.0,0,0
655,17277.0,1,9.0,1,0,0,33.0,4.0,4.0,1,0
657,17532.0,0,13.0,1,0,0,29.0,7.0,3.0,0,0
658,17559.0,1,15.0,1,0,0,44.0,2.0,5.0,1,0
661,19765.0,0,9.0,0,1,1,43.0,5.0,4.0,0,0
664,21586.0,1,20.0,0,1,1,36.0,1.0,3.0,1,0
666,25075.0,1,9.0,0,1,1,30.0,1.0,3.0,0,1
667,17778.0,1,8.0,1,0,0,41.0,5.0,3.0,0,1
668,17377.0,0,15.0,1,0,0,28.0,6.0,3.0,0,0
669,17404.0,1,12.0,1,0,0,39.0,1.0,5.0,1,1
671,17008.0,0,16.0,1,0,0,34.0,2.0,4.0,1,0
675,17329.0,0,13.0,1,0,0,31.0,4.0,3.0,1,0
676,25390.0,1,27.0,0,1,1,30.0,2.0,3.0,0,0
678,17259.0,0,26.0,1,0,0,48.0,5.0,3.0,1,0
679,21932.0,0,26.0,0,1,1,31.0,2.0,3.0,0,0
682,17332.0,0,6.0,1,0,0,32.0,7.0,4.0,0,0
683,17413.0,1,25.0,1,0,0,25.0,2.0,4.0,1,1
690,20855.0,1,18.0,0,1,1,31.0,1.0,3.0,0,0
691,18617.0,1,15.0,1,0,0,41.0,1.0,4.0,1,0
692,21725.0,0,9.0,0,1,1,32.0,2.0,5.0,0,0
696,21651.0,0,6.0,0,1,1,45.0,2.0,4.0,1,0
698,19601.0,0,23.0,0,1,1,35.0,2.0,3.0,0,0
713,17270.0,0,6.0,1,0,0,45.0,4.0,3.0,0,0
718,18633.0,1,29.0,0,1,1,19.0,2.0,5.0,1,0
720,17132.0,1,28.0,1,0,0,30.0,5.0,3.0,0,1
722,17684.0,0,16.0,1,0,0,38.0,1.0,3.0,1,0
724,17177.0,0,9.0,0,1,1,24.0,2.0,3.0,0,0
726,22644.0,0,6.0,0,1,1,48.0,2.0,5.0,0,0
734,17451.0,0,14.0,1,0,0,22.0,2.0,5.0,1,0
739,25648.0,0,8.0,0,1,1,27.0,1.0,3.0,0,0
740,21385.0,0,16.0,1,0,0,41.0,2.0,3.0,1,0
742,17380.0,0,15.0,1,0,0,50.0,5.0,3.0,1,0
744,19777.0,0,14.0,0,1,1,37.0,6.0,4.0,0,1
745,21385.0,1,24.0,0,1,1,55.0,4.0,4.0,1,0
751,21347.0,0,6.0,0,1,1,50.0,1.0,3.0,0,0
761,19834.0,0,11.0,0,1,1,36.0,1.0,3.0,1,1
762,17042.0,1,8.0,1,0,0,26.0,7.0,5.0,1,1
763,17220.0,1,16.0,1,0,0,34.0,2.0,3.0,0,0
764,16052.0,0,16.0,1,0,0,28.0,2.0,4.0,1,0
765,17821.0,0,9.0,1,0,0,38.0,4.0,3.0,1,0
768,23396.0,0,32.0,0,1,1,40.0,2.0,5.0,1,0
769,17007.0,0,6.0,1,0,0,26.0,2.0,3.0,0,0
778,19615.0,1,11.0,0,1,1,46.0,1.0,5.0,0,0
779,17461.0,1,10.0,1,0,0,51.0,1.0,3.0,1,1
781,20249.0,0,6.0,1,0,0,38.0,2.0,5.0,1,0
782,24957.0,0,26.0,0,1,1,30.0,1.0,5.0,1,0
786,19621.0,0,29.0,1,0,0,27.0,2.0,3.0,1,0
793,17207.0,0,21.0,1,0,0,28.0,2.0,3.0,1,0
795,21694.0,1,16.0,0,1,1,37.0,3.0,3.0,0,0
797,17377.0,0,27.0,1,0,0,26.0,2.0,3.0,1,1
800,17596.0,0,6.0,1,0,0,28.0,2.0,4.0,1,1
802,19787.0,0,9.0,0,1,1,33.0,1.0,4.0,0,0
803,17979.0,0,9.0,1,0,0,34.0,4.0,3.0,1,0
805,20593.0,0,15.0,0,1,1,45.0,2.0,3.0,0,0
808,17514.0,0,34.0,1,0,0,29.0,5.0,3.0,0,0
819,18201.0,0,8.0,1,0,0,28.0,1.0,4.0,1,0
820,19968.0,0,17.0,0,1,1,35.0,2.0,3.0,1,0
823,18291.0,0,16.0,1,0,0,29.0,1.0,4.0,0,0
825,20056.0,1,14.0,0,1,1,29.0,2.0,3.0,1,0
827,17703.0,1,12.0,1,0,0,28.0,2.0,3.0,1,0
830,19766.0,1,12.0,1,0,0,41.0,4.0,3.0,1,0
831,17610.0,0,21.0,1,0,0,31.0,2.0,3.0,1,1
832,20731.0,0,31.0,0,1,1,37.0,1.0,3.0,0,0
833,17539.0,0,12.0,1,0,0,27.0,2.0,3.0,1,0
834,20714.0,0,15.0,0,1,1,34.0,2.0,3.0,0,0
840,17258.0,0,6.0,1,0,0,35.0,7.0,3.0,1,0
842,17515.0,1,18.0,1,0,0,28.0,2.0,3.0,0,1
844,21578.0,0,16.0,0,1,1,30.0,2.0,3.0,1,0
848,17376.0,0,10.0,1,0,0,35.0,2.0,3.0,1,0
850,17827.0,0,8.0,1,0,0,32.0,2.0,5.0,0,0
852,18131.0,0,12.0,1,0,0,29.0,2.0,3.0,0,0
854,25152.0,1,10.0,1,0,0,45.0,5.0,3.0,0,0
855,21474.0,0,6.0,0,1,1,37.0,2.0,3.0,0,0
859,17168.0,1,21.0,1,0,0,29.0,1.0,3.0,0,0
860,17853.0,1,9.0,1,0,0,22.0,1.0,3.0,1,1
864,17107.0,0,11.0,1,0,0,41.0,7.0,5.0,1,1
865,17380.0,0,35.0,0,1,1,52.0,1.0,5.0,1,0
868,18196.0,0,25.0,1,0,0,28.0,2.0,5.0,1,0
870,23966.0,1,23.0,0,1,1,35.0,4.0,5.0,1,0
871,17210.0,0,23.0,1,0,0,24.0,2.0,4.0,0,1
872,19539.0,0,7.0,0,1,1,33.0,2.0,3.0,0,0
873,17741.0,0,12.0,1,0,0,36.0,2.0,3.0,1,0
874,18491.0,0,13.0,0,1,1,35.0,2.0,3.0,1,0
880,17743.0,0,19.0,1,0,0,32.0,2.0,4.0,0,0
883,17781.0,0,15.0,1,0,0,33.0,1.0,3.0,1,0
889,17235.0,1,20.0,1,0,0,27.0,2.0,5.0,1,0
893,25025.0,0,6.0,1,0,0,40.0,2.0,3.0,0,0
895,21833.0,1,17.0,0,1,1,31.0,2.0,5.0,1,0
902,17517.0,0,10.0,1,0,0,27.0,2.0,3.0,1,0
903,21623.0,1,13.0,0,1,1,29.0,2.0,3.0,1,0
910,16223.0,0,6.0,1,0,0,23.0,2.0,3.0,1,0
920,20405.0,0,34.0,0,1,1,34.0,5.0,4.0,0,0
923,19490.0,0,13.0,0,1,1,34.0,5.0,4.0,1,0
924,18506.0,1,12.0,1,0,0,30.0,1.0,3.0,1,0
939,19883.0,0,15.0,0,1,1,32.0,2.0,3.0,1,1
944,21674.0,0,6.0,0,1,1,28.0,1.0,3.0,0,0
953,17362.0,0,9.0,1,0,0,44.0,5.0,5.0,1,1
957,18544.0,0,22.0,1,0,0,33.0,1.0,3.0,1,0
960,19621.0,0,6.0,0,1,1,32.0,1.0,5.0,0,0
963,21893.0,0,8.0,0,1,1,38.0,4.0,5.0,0,0
965,18669.0,0,25.0,1,0,0,47.0,4.0,3.0,1,0
967,17387.0,0,6.0,1,0,0,40.0,4.0,4.0,1,0
973,20363.0,0,6.0,0,1,1,35.0,1.0,3.0,0,0
979,20429.0,0,35.0,0,1,1,34.0,5.0,3.0,1,0
981,19614.0,1,35.0,0,1,1,35.0,1.0,3.0,0,1
984,19724.0,0,12.0,0,1,1,28.0,2.0,5.0,1,0
985,21179.0,1,28.0,0,1,1,31.0,2.0,3.0,1,1
986,21120.0,1,27.0,0,1,1,39.0,4.0,3.0,1,0
988,20467.0,1,28.0,0,1,1,41.0,4.0,3.0,0,0
989,17996.0,1,10.0,1,0,0,37.0,1.0,3.0,1,0
990,24998.0,0,11.0,0,1,1,33.0,7.0,3.0,1,0
991,21577.0,1,8.0,0,1,1,35.0,1.0,4.0,1,0
996,20769.0,1,16.0,0,1,1,27.0,2.0,3.0,0,0
1000,17950.0,0,14.0,1,0,0,52.0,1.0,5.0,0,0
1013,19779.0,0,14.0,0,1,1,30.0,1.0,5.0,0,0
1015,17996.0,0,6.0,1,0,0,34.0,6.0,5.0,1,0
1017,17099.0,0,17.0,1,0,0,27.0,1.0,5.0,1,0
1019,20647.0,0,22.0,0,1,1,36.0,5.0,5.0,0,0
1021,17090.0,0,6.0,1,0,0,25.0,4.0,5.0,1,1
1025,22439.0,1,10.0,0,1,1,36.0,2.0,3.0,0,0
1026,24204.0,0,13.0,0,1,1,32.0,5.0,3.0,1,0
1027,18294.0,0,6.0,1,0,0,34.0,6.0,4.0,0,0
1029,21001.0,0,15.0,0,1,1,47.0,4.0,3.0,1,0
1036,22678.0,1,8.0,1,0,0,25.0,7.0,3.0,1,1
1038,20486.0,0,13.0,0,1,1,48.0,5.0,5.0,1,0
1045,17345.0,0,8.0,1,0,0,40.0,3.0,3.0,1,0
